official_name,short_name,ISO3,indicator_name,score
Republic of Albania,Albania,ALB,C.CAPABILITIES.EMPLOY,0.261
Republic of Angola,Angola,AGO,C.CAPABILITIES.EMPLOY,0.134
Argentine Republic,Argentina,ARG,C.CAPABILITIES.EMPLOY,0.371
Republic of Armenia,Armenia,ARM,C.CAPABILITIES.EMPLOY,0.455
Commonwealth of Australia,Australia,AUS,C.CAPABILITIES.EMPLOY,0.7440000000000001
Republic of Azerbaijan,Azerbaijan,AZE,C.CAPABILITIES.EMPLOY,0.345
Commonwealth of the Bahamas,Bahamas,BHS,C.CAPABILITIES.EMPLOY,0.2856666666666667
Kingdom of Bahrain,Bahrain,BHR,C.CAPABILITIES.EMPLOY,0.32299999999999995
People's Republic of Bangladesh,Bangladesh,BGD,C.CAPABILITIES.EMPLOY,0.086
Republic of Belarus,Belarus,BLR,C.CAPABILITIES.EMPLOY,0.649
Belize,Belize,BLZ,C.CAPABILITIES.EMPLOY,0.2856666666666667
Republic of Benin,Benin,BEN,C.CAPABILITIES.EMPLOY,0.14685185185185184
Plurinational State of Bolivia,Bolivia,BOL,C.CAPABILITIES.EMPLOY,0.217
Republic of Botswana,Botswana,BWA,C.CAPABILITIES.EMPLOY,0.364
Federative Republic of Brazil,Brazil,BRA,C.CAPABILITIES.EMPLOY,0.38
Republic of Bulgaria,Bulgaria,BGR,C.CAPABILITIES.EMPLOY,0.484
Burkina Faso,Burkina Faso,BFA,C.CAPABILITIES.EMPLOY,0.17300000000000001
Kingdom of Cambodia,Cambodia,KHM,C.CAPABILITIES.EMPLOY,0.038
Republic of Cameroon,Cameroon,CMR,C.CAPABILITIES.EMPLOY,0.131
Canada,Canada,CAN,C.CAPABILITIES.EMPLOY,0.7040000000000001
Republic of Chile,Chile,CHL,C.CAPABILITIES.EMPLOY,0.498
People's Republic of China,China,CHN,C.CAPABILITIES.EMPLOY,0.50575
Hong Kong SAR,Hong Kong,HKG,C.CAPABILITIES.EMPLOY,0.622
Republic of Colombia,Colombia,COL,C.CAPABILITIES.EMPLOY,0.285
Republic of Costa Rica,Costa Rica,CRI,C.CAPABILITIES.EMPLOY,0.419
Republic of Croatia,Croatia,HRV,C.CAPABILITIES.EMPLOY,0.589
Czech Republic,Czech Republic,CZE,C.CAPABILITIES.EMPLOY,0.599
Republic of Côte d'Ivoire,Cote d'Ivoire,CIV,C.CAPABILITIES.EMPLOY,0.12
Kingdom of Denmark,Denmark,DNK,C.CAPABILITIES.EMPLOY,0.792
Dominican Republic,Dominican Republic,DOM,C.CAPABILITIES.EMPLOY,0.233
Republic of Ecuador,Ecuador,ECU,C.CAPABILITIES.EMPLOY,0.184
Arab Republic of Egypt,Egypt,EGY,C.CAPABILITIES.EMPLOY,0.45799999999999996
