official_name,short_name,ISO3,indicator_name,score
Republic of the Philippines,Philippines,PHL,C.CAPABILITIES.PFREEDOM,0.59
Portuguese Republic,Portugal,PRT,C.CAPABILITIES.PFREEDOM,0.96
State of Qatar,Qatar,QAT,C.CAPABILITIES.PFREEDOM,0.25
Republic of Korea,South Korea,KOR,C.CAPABILITIES.PFREEDOM,0.83
Republic of Moldova,Moldova,MDA,C.CAPABILITIES.PFREEDOM,0.6
Romania,Romania,ROU,C.CAPABILITIES.PFREEDOM,0.83
Russian Federation,Russia,RUS,C.CAPABILITIES.PFREEDOM,0.2
Republic of Rwanda,Rwanda,RWA,C.CAPABILITIES.PFREEDOM,0.22
Saint Lucia,St. Lucia,LCA,C.CAPABILITIES.PFREEDOM,0.92
Kingdom of Saudi Arabia,Saudi Arabia,SAU,C.CAPABILITIES.PFREEDOM,0.07
Republic of Senegal,Senegal,SEN,C.CAPABILITIES.PFREEDOM,0.71
Republic of Sierra Leone,Sierra Leone,SLE,C.CAPABILITIES.PFREEDOM,0.65
Slovak Republic,Slovakia,SVK,C.CAPABILITIES.PFREEDOM,0.88
Republic of South Africa,South Africa,ZAF,C.CAPABILITIES.PFREEDOM,0.79
Kingdom of Spain,Spain,ESP,C.CAPABILITIES.PFREEDOM,0.92
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,C.CAPABILITIES.PFREEDOM,0.56
State of Palestine,Palestine,PSE,C.CAPABILITIES.PFREEDOM,0.25
Kingdom of Sweden,Sweden,SWE,C.CAPABILITIES.PFREEDOM,1.0
Republic of China,Taiwan,TWN,C.CAPABILITIES.PFREEDOM,0.93
Republic of Tajikistan,Tajikistan,TJK,C.CAPABILITIES.PFREEDOM,0.09
Kingdom of Thailand,Thailand,THA,C.CAPABILITIES.PFREEDOM,0.32
Togolese Republic,Togo,TGO,C.CAPABILITIES.PFREEDOM,0.44
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,C.CAPABILITIES.PFREEDOM,0.82
Republic of Tunisia,Tunisia,TUN,C.CAPABILITIES.PFREEDOM,0.7
Turkmenistan,Turkmenistan,TKM,C.CAPABILITIES.PFREEDOM,0.02
Republic of Uganda,Uganda,UGA,C.CAPABILITIES.PFREEDOM,0.34
Ukraine,Ukraine,UKR,C.CAPABILITIES.PFREEDOM,0.62
United Arab Emirates,United Arab Emirates,ARE,C.CAPABILITIES.PFREEDOM,0.17
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,C.CAPABILITIES.PFREEDOM,0.94
United States of America,United States,USA,C.CAPABILITIES.PFREEDOM,0.86
Oriental Republic of Uruguay,Uruguay,URY,C.CAPABILITIES.PFREEDOM,0.98
Republic of Uzbekistan,Uzbekistan,UZB,C.CAPABILITIES.PFREEDOM,0.1
Socialist Republic of Vietnam,Vietnam,VNM,C.CAPABILITIES.PFREEDOM,0.2
