official_name,short_name,ISO3,indicator_name,score
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,A.HEALTH.INFMORT,1
State of Palestine,Palestine,PSE,A.HEALTH.INFMORT,1
Kingdom of Sweden,Sweden,SWE,A.HEALTH.INFMORT,1
Republic of China,Taiwan,TWN,A.HEALTH.INFMORT,0
Republic of Tajikistan,Tajikistan,TJK,A.HEALTH.INFMORT,1
Kingdom of Thailand,Thailand,THA,A.HEALTH.INFMORT,1
Togolese Republic,Togo,TGO,A.HEALTH.INFMORT,1
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,A.HEALTH.INFMORT,1
Republic of Tunisia,Tunisia,TUN,A.HEALTH.INFMORT,1
Turkmenistan,Turkmenistan,TKM,A.HEALTH.INFMORT,1
Republic of Uganda,Uganda,UGA,A.HEALTH.INFMORT,1
Ukraine,Ukraine,UKR,A.HEALTH.INFMORT,1
United Arab Emirates,United Arab Emirates,ARE,A.HEALTH.INFMORT,1
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,A.HEALTH.INFMORT,1
United States of America,United States,USA,A.HEALTH.INFMORT,1
Oriental Republic of Uruguay,Uruguay,URY,A.HEALTH.INFMORT,1
Republic of Uzbekistan,Uzbekistan,UZB,A.HEALTH.INFMORT,1
Socialist Republic of Vietnam,Vietnam,VNM,A.HEALTH.INFMORT,1
