official_name,short_name,ISO3,indicator_name,score
Republic of Peru,Peru,PER,C.CAPABILITIES.STANDARDS,0.4
Republic of the Philippines,Philippines,PHL,C.CAPABILITIES.STANDARDS,0.35
Portuguese Republic,Portugal,PRT,C.CAPABILITIES.STANDARDS,1.0
State of Qatar,Qatar,QAT,C.CAPABILITIES.STANDARDS,0.45
Republic of Korea,South Korea,KOR,C.CAPABILITIES.STANDARDS,0.9
Republic of Moldova,Moldova,MDA,C.CAPABILITIES.STANDARDS,0.9
Romania,Romania,ROU,C.CAPABILITIES.STANDARDS,0.8
Russian Federation,Russia,RUS,C.CAPABILITIES.STANDARDS,0.9
Republic of Rwanda,Rwanda,RWA,C.CAPABILITIES.STANDARDS,0.45
Saint Lucia,St. Lucia,LCA,C.CAPABILITIES.STANDARDS,0.25
Kingdom of Saudi Arabia,Saudi Arabia,SAU,C.CAPABILITIES.STANDARDS,0.5
Republic of Senegal,Senegal,SEN,C.CAPABILITIES.STANDARDS,0.5
Republic of Serbia,Serbia,SRB,C.CAPABILITIES.STANDARDS,0.8
Republic of Seychelles,Seychelles,SYC,C.CAPABILITIES.STANDARDS,0.5
Republic of Sierra Leone,Sierra Leone,SLE,C.CAPABILITIES.STANDARDS,0.2
Republic of South Africa,South Africa,ZAF,C.CAPABILITIES.STANDARDS,0.65
Kingdom of Spain,Spain,ESP,C.CAPABILITIES.STANDARDS,1.0
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,C.CAPABILITIES.STANDARDS,0.45
State of Palestine,Palestine,PSE,C.CAPABILITIES.STANDARDS,0.6
Kingdom of Sweden,Sweden,SWE,C.CAPABILITIES.STANDARDS,1.0
Republic of China,Taiwan,TWN,C.CAPABILITIES.STANDARDS,0.775
Republic of Tajikistan,Tajikistan,TJK,C.CAPABILITIES.STANDARDS,0.5
Kingdom of Thailand,Thailand,THA,C.CAPABILITIES.STANDARDS,0.7
Togolese Republic,Togo,TGO,C.CAPABILITIES.STANDARDS,0.45
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,C.CAPABILITIES.STANDARDS,0.4
Republic of Tunisia,Tunisia,TUN,C.CAPABILITIES.STANDARDS,0.3
Turkmenistan,Turkmenistan,TKM,C.CAPABILITIES.STANDARDS,0.15
Republic of Uganda,Uganda,UGA,C.CAPABILITIES.STANDARDS,0.65
Ukraine,Ukraine,UKR,C.CAPABILITIES.STANDARDS,1.0
United Arab Emirates,United Arab Emirates,ARE,C.CAPABILITIES.STANDARDS,0.65
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,C.CAPABILITIES.STANDARDS,0.9
United States of America,United States,USA,C.CAPABILITIES.STANDARDS,1.0
Oriental Republic of Uruguay,Uruguay,URY,C.CAPABILITIES.STANDARDS,0.2
Republic of Uzbekistan,Uzbekistan,UZB,C.CAPABILITIES.STANDARDS,0.65
Socialist Republic of Vietnam,Vietnam,VNM,C.CAPABILITIES.STANDARDS,0.35
