official_name,short_name,ISO3,indicator_name,score
Portuguese Republic,Portugal,PRT,C.CAPABILITIES.DATAINST,0.5
State of Qatar,Qatar,QAT,C.CAPABILITIES.DATAINST,1.0
Republic of Korea,South Korea,KOR,C.CAPABILITIES.DATAINST,1.0
Republic of Moldova,Moldova,MDA,C.CAPABILITIES.DATAINST,1.0
Romania,Romania,ROU,C.CAPABILITIES.DATAINST,0.5
Russian Federation,Russia,RUS,C.CAPABILITIES.DATAINST,0.75
Republic of Rwanda,Rwanda,RWA,C.CAPABILITIES.DATAINST,0.5
Saint Lucia,St. Lucia,LCA,C.CAPABILITIES.DATAINST,0.0
Kingdom of Saudi Arabia,Saudi Arabia,SAU,C.CAPABILITIES.DATAINST,0.0
Republic of Senegal,Senegal,SEN,C.CAPABILITIES.DATAINST,0.5
Republic of Serbia,Serbia,SRB,C.CAPABILITIES.DATAINST,0.5
Republic of Seychelles,Seychelles,SYC,C.CAPABILITIES.DATAINST,0.25
Republic of Sierra Leone,Sierra Leone,SLE,C.CAPABILITIES.DATAINST,0.0
Republic of South Africa,South Africa,ZAF,C.CAPABILITIES.DATAINST,0.75
Kingdom of Spain,Spain,ESP,C.CAPABILITIES.DATAINST,1.0
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,C.CAPABILITIES.DATAINST,0.25
State of Palestine,Palestine,PSE,C.CAPABILITIES.DATAINST,0.0
Kingdom of Sweden,Sweden,SWE,C.CAPABILITIES.DATAINST,1.0
Republic of China,Taiwan,TWN,C.CAPABILITIES.DATAINST,0.0
Republic of Tajikistan,Tajikistan,TJK,C.CAPABILITIES.DATAINST,0.5
Kingdom of Thailand,Thailand,THA,C.CAPABILITIES.DATAINST,1.0
Togolese Republic,Togo,TGO,C.CAPABILITIES.DATAINST,0.0
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,C.CAPABILITIES.DATAINST,0.5
Republic of Tunisia,Tunisia,TUN,C.CAPABILITIES.DATAINST,0.5
Turkmenistan,Turkmenistan,TKM,C.CAPABILITIES.DATAINST,0.0
Republic of Uganda,Uganda,UGA,C.CAPABILITIES.DATAINST,0.5
Ukraine,Ukraine,UKR,C.CAPABILITIES.DATAINST,0.5
United Arab Emirates,United Arab Emirates,ARE,C.CAPABILITIES.DATAINST,0.5
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,C.CAPABILITIES.DATAINST,1.0
United States of America,United States,USA,C.CAPABILITIES.DATAINST,0.5
Oriental Republic of Uruguay,Uruguay,URY,C.CAPABILITIES.DATAINST,1.0
Republic of Uzbekistan,Uzbekistan,UZB,C.CAPABILITIES.DATAINST,0.25
Socialist Republic of Vietnam,Vietnam,VNM,C.CAPABILITIES.DATAINST,1.0
