official_name,short_name,ISO3,indicator_name,score
Russian Federation,Russia,RUS,U.USE.INTERNATIONAL,0.934
Republic of Rwanda,Rwanda,RWA,U.USE.INTERNATIONAL,1.0
Saint Lucia,St. Lucia,LCA,U.USE.INTERNATIONAL,0.8
Kingdom of Saudi Arabia,Saudi Arabia,SAU,U.USE.INTERNATIONAL,0.8
Republic of Senegal,Senegal,SEN,U.USE.INTERNATIONAL,0.8
Republic of Serbia,Serbia,SRB,U.USE.INTERNATIONAL,1.0
Republic of Seychelles,Seychelles,SYC,U.USE.INTERNATIONAL,0.4
Republic of Sierra Leone,Sierra Leone,SLE,U.USE.INTERNATIONAL,0.9
Republic of South Africa,South Africa,ZAF,U.USE.INTERNATIONAL,0.7659999999999999
Kingdom of Spain,Spain,ESP,U.USE.INTERNATIONAL,1.0
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,U.USE.INTERNATIONAL,1.0
State of Palestine,Palestine,PSE,U.USE.INTERNATIONAL,0.8
Kingdom of Sweden,Sweden,SWE,U.USE.INTERNATIONAL,1.0
Republic of China,Taiwan,TWN,U.USE.INTERNATIONAL,0.6
Republic of Tajikistan,Tajikistan,TJK,U.USE.INTERNATIONAL,0.9
Kingdom of Thailand,Thailand,THA,U.USE.INTERNATIONAL,1.0
Togolese Republic,Togo,TGO,U.USE.INTERNATIONAL,0.9
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,U.USE.INTERNATIONAL,0.6
Republic of Tunisia,Tunisia,TUN,U.USE.INTERNATIONAL,0.9
Turkmenistan,Turkmenistan,TKM,U.USE.INTERNATIONAL,0.466
Republic of Uganda,Uganda,UGA,U.USE.INTERNATIONAL,1.0
Ukraine,Ukraine,UKR,U.USE.INTERNATIONAL,1.0
United Arab Emirates,United Arab Emirates,ARE,U.USE.INTERNATIONAL,1.0
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,U.USE.INTERNATIONAL,1.0
United States of America,United States,USA,U.USE.INTERNATIONAL,1.0
Oriental Republic of Uruguay,Uruguay,URY,U.USE.INTERNATIONAL,1.0
Republic of Uzbekistan,Uzbekistan,UZB,U.USE.INTERNATIONAL,0.7
Socialist Republic of Vietnam,Vietnam,VNM,U.USE.INTERNATIONAL,1.0
