official_name,short_name,ISO3,indicator_name,score
Republic of the Philippines,Philippines,PHL,political_freedoms_and_civil_liberties,0.59
Portuguese Republic,Portugal,PRT,political_freedoms_and_civil_liberties,0.96
State of Qatar,Qatar,QAT,political_freedoms_and_civil_liberties,0.25
Republic of Korea,South Korea,KOR,political_freedoms_and_civil_liberties,0.83
Republic of Moldova,Moldova,MDA,political_freedoms_and_civil_liberties,0.6
Romania,Romania,ROU,political_freedoms_and_civil_liberties,0.83
Russian Federation,Russia,RUS,political_freedoms_and_civil_liberties,0.2
Republic of Rwanda,Rwanda,RWA,political_freedoms_and_civil_liberties,0.22
Saint Lucia,St. Lucia,LCA,political_freedoms_and_civil_liberties,0.92
Kingdom of Saudi Arabia,Saudi Arabia,SAU,political_freedoms_and_civil_liberties,0.07
Republic of Senegal,Senegal,SEN,political_freedoms_and_civil_liberties,0.71
Republic of Serbia,Serbia,SRB,political_freedoms_and_civil_liberties,0.66
Republic of Seychelles,Seychelles,SYC,political_freedoms_and_civil_liberties,0.72
Republic of Sierra Leone,Sierra Leone,SLE,political_freedoms_and_civil_liberties,0.65
Republic of South Africa,South Africa,ZAF,political_freedoms_and_civil_liberties,0.79
Kingdom of Spain,Spain,ESP,political_freedoms_and_civil_liberties,0.92
Democratic Socialist Republic of Sri Lanka,Sri Lanka,LKA,political_freedoms_and_civil_liberties,0.56
State of Palestine,Palestine,PSE,political_freedoms_and_civil_liberties,0.25
Kingdom of Sweden,Sweden,SWE,political_freedoms_and_civil_liberties,1.0
Republic of China,Taiwan,TWN,political_freedoms_and_civil_liberties,0.93
Republic of Tajikistan,Tajikistan,TJK,political_freedoms_and_civil_liberties,0.09
Kingdom of Thailand,Thailand,THA,political_freedoms_and_civil_liberties,0.32
Togolese Republic,Togo,TGO,political_freedoms_and_civil_liberties,0.44
Republic of Trinidad and Tobago,Trinidad and Tobago,TTO,political_freedoms_and_civil_liberties,0.82
Republic of Tunisia,Tunisia,TUN,political_freedoms_and_civil_liberties,0.7
Republic of Turkey,Turkey,TUR,political_freedoms_and_civil_liberties,0.32
Turkmenistan,Turkmenistan,TKM,political_freedoms_and_civil_liberties,0.02
Republic of Uganda,Uganda,UGA,political_freedoms_and_civil_liberties,0.34
Ukraine,Ukraine,UKR,political_freedoms_and_civil_liberties,0.62
United Arab Emirates,United Arab Emirates,ARE,political_freedoms_and_civil_liberties,0.17
United Kingdom of Great Britain and Northern Ireland,United Kingdom,GBR,political_freedoms_and_civil_liberties,0.94
United States of America,United States,USA,political_freedoms_and_civil_liberties,0.86
Oriental Republic of Uruguay,Uruguay,URY,political_freedoms_and_civil_liberties,0.98
Republic of Uzbekistan,Uzbekistan,UZB,political_freedoms_and_civil_liberties,0.1
Socialist Republic of Vietnam,Vietnam,VNM,political_freedoms_and_civil_liberties,0.2
